text,target,target_name,clean_text
"Pascal Perret, in article <1993Apr21.125750.263@eicn.etna.ch>, wrote

Funny thing, the InterNet: I have no idea what xv221 might be - except that it
might be something to do with X-windows on PCs (? If you know, and have used
it, and think that it is good, email me. [ryanph@mrl.dsto.gov.au]).

DV/X is a common abbreviation for QuarterDeck corporation's Desqview/X
software.

I have not used DV/X yet, but reading the blurbs that Quarterdeck sent me, it
sounds pretty great:
	* allows multiple DOS machines - the way that OS/2 does, but without
requiring 10 MB of RAM to get OS/2 going
	* pre-emptive multi-tasking
	* network computing - a proper X-windows client/server application -
this means that DOS program can be used on other X-windows computers on your
network, and that X-windows programs can be used on your DV/X computer
	* although it is NOT a version of Unix, it effectively has many of
Unix's features, and mostly you will be able to compile unix-type programs
using the djgpp or gnu c compilers

They advertise regularly in all of the major computing and programming
magazines. They also have InterNet support online (support@qdeck.com).


Hope that this helps anyone wanting to know.",0,comp.graphics,pascal perret in article wrote funny thing the internet i have no idea what xv might be except that it might be something to do with x windows on pcs if you know and have used it and think that it is good email me dv x is a common abbreviation for quarterdeck corporation s desqview x software i have not used dv x yet but reading the blurbs that quarterdeck sent me it sounds pretty great allows multiple dos machines the way that os does but without requiring mb of ram to get os going pre emptive multi tasking network computing a proper x windows client server application this means that dos program can be used on other x windows computers on your network and that x windows programs can be used on your dv x computer although it is not a version of unix it effectively has many of unix s features and mostly you will be able to compile unix type programs using the djgpp or gnu c compilers they advertise regularly in all of the major computing and programming magazines they also have internet support online hope that this helps anyone wanting to know
"This notice will be posted weekly in sci.space, sci.astro, and
sci.space.shuttle.

    The Frequently Asked Questions (FAQ) list for sci.space and sci.astro is
posted approximately monthly. It also covers many questions that come up on
sci.space.shuttle (for shuttle launch dates, see below).

    The FAQ is posted with a long expiration date, so a copy may be in your
news spool directory (look at old articles in sci.space). If not, here are
two ways to get a copy without waiting for the next posting:

    (1) If your machine is on the Internet, it can be obtained by anonymous
FTP from the SPACE archive at ames.arc.nasa.gov (128.102.18.3) in directory
pub/SPACE/FAQ.

    (2) Otherwise, send email to 'archive-server@ames.arc.nasa.gov'
containing the single line:

help

    The archive server will return directions on how to use it. To get an
index of files in the FAQ directory, send email containing the lines:

send space FAQ/Index
send space FAQ/faq1

    Use these files as a guide to which other files to retrieve to answer
your questions.

    Shuttle launch dates are posted by Ken Hollis periodically in
sci.space.shuttle. A copy of his manifest is now available in the Ames
archive in pub/SPACE/FAQ/manifest and may be requested from the email
archive-server with 'send space FAQ/manifest'. Please get this document
instead of posting requests for information on launches and landings.",2,sci.space,this notice will be posted weekly in sci space sci astro and sci space shuttle the frequently asked questions faq list for sci space and sci astro is posted approximately monthly it also covers many questions that come up on sci space shuttle for shuttle launch dates see below the faq is posted with a long expiration date so a copy may be in your news spool directory look at old articles in sci space if not here are two ways to get a copy without waiting for the next posting if your machine is on the internet it can be obtained by anonymous ftp from the space archive at ames arc nasa gov in directory pub space faq otherwise send email to containing the single line help the archive server will return directions on how to use it to get an index of files in the faq directory send email containing the lines send space faq index send space faq faq use these files as a guide to which other files to retrieve to answer your questions shuttle launch dates are posted by ken hollis periodically in sci space shuttle a copy of his manifest is now available in the ames archive in pub space faq manifest and may be requested from the email archive server with send space faq manifest please get this document instead of posting requests for information on launches and landings
"NHL RESULTS FOR GAMES PLAYED 4/15/93.

--------------------------------------------------------------------------------
                                  STANDINGS
      PATRICK              ADAMS              NORRIS              SMYTHE
 TM    W  L  T  PT   TM    W  L  T  PT   TM    W  L  T  PT   TM    W  L  T  PT
 
xPIT  56 21  7 119  xBOS  51 26  7 109  xCHI  47 25 12 106  xVAN  46 29  9 101
yWAS  42 34  7  91  yQUE  47 27 10 104  yDET  47 28  9 103  yCAL  43 30 11  97
yNJ   40 36  7  87  yMON  48 30  6 102  yTOR  44 29 11  99  yLA   39 35 10  88
yNYI  39 37  7  85  yBUF  38 36 10  86  ySTL  37 36 11  85  yWIN  40 37  7  87
 PHL  35 37 11  81   HAR  26 51  6  58   MIN  36 38 10  82   EDM  26 50  8  60
 NYR  34 38 11  79   OTT  10 70  4  24   TB   23 54  7  53   SJ   11 71  2  24

x - Clinched Division Title
y - Clinched Playoff Berth

--------------------------------------------------------------------------------

Minnesota North Stars  (36-38-10)   1   1   1   -   3
Detroit Red Wings       (47-28-9)   0   2   3   -   5

1st period: MIN, McPhee 18 - (Ludwig) 1:23
	
2nd period: MIN, Dahlen 34 - (Courtnall, Gagner) (pp) 0:31
	    DET, Drake 18 - (Howe, Ogrodnick) 9:14
	    DET, Ysebaert 34 - (Lidstrom, Howe) (pp) 17:37

3rd period: DET, Ciccarelli 41 - (Coffey, Chiasson) (pp) 0:32
	    DET, Kennedy 19 - (Burr, Probert) 3:42
	    DET, Yzerman 58 - (Ciccarelli, Gallant) 6:17
	    MIN, Dahlen 35 - (Courtnall, Gagner) 19:11

Powerplay Opportunities-North Stars 1 of 2
			Red Wings   2 of 4

Shots on GOal-	North Stars  10   9  11  -  30
		Red Wings     6  15   8  -  29

Minnesota North Stars--Casey (26-26-5) (29 shots - 24 saves)
Detroit Red Wings--Cheveldae (34-24-7) (30 shots - 27 saves)

ATT-19,749

--------------------------------------------------------------------------------

Philadelphia Flyers  (35-37-11)   1   2   4   -   7
Buffalo Sabres       (38-36-10)   0   3   1   -   4

1st period: PHL, Recchi 52 - (Galley, Lindros) 0:18

2nd period: PHL, Hawgood 11 - (Dineen, Eklund) (pp) 2:15
	    PHL, Dineen 33 - (McGill) (sh) 5:40
	    BUF, Barnaby 1 - (Hawerchuk, Smehlik) (pp) 7:48
	    BUF, Wood 18 - (LaFontaine, Ledyard) (pp) 17:34
	    BUF, Mogilny 75 - (Hawerchuk, Carney) (pp) 18:56

3rd period: PHL, Eklund 11 - (Dineen, Beranek) 4:42
	    BUF, Mogilny 76 - (Errey, LaFontaine) 5:24
	    PHL, Dineen 34 - (Brind'Amour) (pp) 6:44
	    PHL, Dineen 35 - (Brind'Amour, Galley) (sh) 8:39
	    PHL, Acton 8 - (Dineen, Brind'Amour) 19:48

Powerplay Opportunities-Flyers 2 of  5
			Sabres 3 of 10

SHots on Goal-	Flyers   6   7  13  -  26
		Sabres   8  19  18  -  45

Philadelphia Flyers--Soderstrom (20-17-6) (45 shots - 41 saves)
Buffalo Sabres--Fuhr (10 shots - 7 saves)  Hasek (11-10-4) (5:40 second) 
		(16 shots - 12 saves)

ATT-15,042

--------------------------------------------------------------------------------

Edmonton Oilers  (26-50-8)   0   0   0   -   0
Winnipeg Jets    (40-37-7)   1   2   0   -   3

1st period: WIN, Shannon 20 - (Steen, Davydov) (pp) 2:08
	
2nd period: WIN, Selanne 76 - (Olausson) 5:25
	    WIN, Zhamnov 25 - (Selanne) 19:42

3rd period: NONE

Powerplay Opportunities-Oilers 0 of 3
			Jets   1 of 6

SHots on GOal-	Oilers   7   8  16  -  31
		Jets    10  16  16  -  42

Edmonton Oilers--Ranford (17-38-6) (42 shots - 39 saves)
Winnipeg Jets--Essensa (33-26-6) (31 shots - 31 saves)

ATT-12,229

--------------------------------------------------------------------------------

Toronto Maple Leafs  (44-29-11)   1   1   0   -   2
Chicago BlackHawks   (47-25-12)   0   2   1   -   3

1st period: TOR, Baumgartner 1 - 18:40

2nd period: CHI, Roenick 50 - (Murphy, Chelios) 1:29
	    TOR, Andreychuk 55 - (Mironov, Lefebvre) 13:22
	    CHI, Murphy 7 - (Roenick, Chelios) (pp) 19:05

3rd period: CHI, Matteau 15 - 10:51

Powerplay Opportunities-Maple Leafs 1 of 3
			BlackHawks  1 of 7

Shots on Goal-	Maple Leafs  14   4   8  -  26
		BlackHawks   10  13  13  -  36

Toronto Maple Leafs--Potvin (25-15-7) (36 shots - 33 saves)
Chicago BlackHawks--Belfour (41-18-11) (26 shots - 24 saves)

ATT-17,856

--------------------------------------------------------------------------------

Tampa Bay Lightning   (23-54-7)   0   2   3   -   5
St. Louis Blues      (37-36-11)   3   3   0   -   6

1st period: STL, Shanahan 50 - (Brown, Felsner) 10:44
	    STL, Miller 23 - (Bassen, Brown) 19:38
	    STL, Bassen 8 - (Zombo) 19:48

2nd period: STL, Bassen 9 - (Hedican, Miller) 0:14
	    STL, Miller 24 - (Zombo, Hedican) 11:09
	    TBL, Maltais 7 - (Hamrlik) 11:27
	    TBL, Bergland 3 - (Harvey, Gilhen) 17:16
	    TBL, Shanahan 51 - (Emerson) 19:38

3rd period: TBL, Creighton 19 - (Bergland, Bergevin) 0:40
	    TBL, Chambers 10 - (Zamuner, Cole) 10:37
	    TBL, Cole 12 - (Beers, Bradley) 11:58

Powerplay Opportunities-Lightning 0 of 3
			Blues     0 of 4

SHots on GOal-	Lightning   5  12  14  -  31
		Blues      11  11   4  -  26

Tampa Bay Lightning--Jablonski (8-24-4) (22 shots - 16 saves)  Bergeron (0:00
		     third) (4 shots - 4 saves)
St. Louis Blues--Joseph (29-28-9) (18 shots - 15 saves)  Hebert (19:20 third)
	         (13 shots - 11 saves)

ATT-17,816

--------------------------------------------------------------------------------

San Jose Sharks   (11-71-2)   0   1   2   -   3
Calgary Flames   (43-30-11)   0   4   3   -   7

1st period: NONE

2nd period: SJS, Garpenlov 22 - (Odgers, Gaudreau) (pp) 3:37
	    CAL, Nieuwendyk 38 - (MacInnis, Suter) (pp) 5:26
	    CAL, Ranheim 21 - (Otto, Suter) 10:43
	    CAL, Yawney 1 - (Nieuwendyk, Roberts) 11:26
	    CAL, Berube 4 - (Paslawski, Skrudland) 13:45

3rd period: SJS, Wood 1 - (Odgers, Kisio) 8:00
	    CAL, Reichel 40 - 9:26
	    CAL, Roberts 38 - (Musil, Paslawski) (pp) 12:27
	    SJS, Kisio 26 - 13:10
	    CAL, Paslawski 18 - (Ashton, Stern) 16:16

Powerplay Opportunities-Sharks 1 of 3
			Flames 2 of 4

Shots on Goal-	Sharks   5  11   9  -  25
		Flames  11  14   7  -  32

San Jose Sharks--Irbe (7-25-0) (32 shots - 25 saves)
Calgary Flames--Vernon (29-26-9) (25 shots - 22 saves)

ATT-19,532

--------------------------------------------------------------------------------

Vancouver Canucks   (46-29-9)   1   2   5   -   8
Los Angeles Kings  (39-35-10)   2   3   1   -   6

1st period: LAK, Robitaille 63 - (Gretzky, Sandstrom) 1:39
	    VAN, Babych 3 - (Craven, Nedved) (pp) 9:43
	    LAK, Sandstrom 25 - (Gretzky, Robitaille) 10:06

2nd period: VAN, Linden 32 - (Ronning, Courtnall) (pp) 0:54
	    VAN, Ward 22 - (Hunter, Nedved) 1:24
	    LAK, Gretzky 16 - (Sandstrom, Robitaille) 6:57
	    LAK, Zhitnik 12 - (Kurri, Robitaille) (pp) 14:02
	    LAK, Millen 23 - (Hardy) (pp) 16:57

3rd period: VAN, Ronning 27 - (Dirk) 5:28
	    VAN, Ronning 28 - (Courtnall, Linden) (pp) 11:15
	    VAN, Linden 33 - (Courtnall, Ronning) 11:27
	    LAK, Donnelly 29 - (Millen, Granato) (pp) 14:35
	    VAN, Courtnall 31 - (Ronning, Ratushny) 14:54
	    VAN, Ronning 29 - (Linden, Diduck) (en) 18:47

Powerplay Opportunities-Canucks 3 of  6
			Kings   3 of 10

Shots on Goal-	Canucks   8   6  16  -  30
		Kings    10  21  10  -  41

Vanocuver Canucks--Whitmore (18-8-4) (41 shots - 35 saves)
Los Angeles Kings--Stauber (23 shots - 17 saves)  Hrudey (17-21-6) (11:27
		   third) (6 shots - 5 saves)

ATT-16,005

--------------------------------------------------------------------------------
",1,rec.sport.hockey,nhl results for games played standings patrick adams norris smythe tm w l t pt tm w l t pt tm w l t pt tm w l t pt xpit xbos xchi xvan ywas yque ydet ycal ynj ymon ytor yla ynyi ybuf ystl ywin phl har min edm nyr ott tb sj x clinched division title y clinched playoff berth minnesota north stars detroit red wings st period min mcphee ludwig nd period min dahlen courtnall gagner pp det drake howe ogrodnick det ysebaert lidstrom howe pp rd period det ciccarelli coffey chiasson pp det kennedy burr probert det yzerman ciccarelli gallant min dahlen courtnall gagner powerplay opportunities north stars of red wings of shots on goal north stars red wings minnesota north stars casey shots saves detroit red wings cheveldae shots saves att philadelphia flyers buffalo sabres st period phl recchi galley lindros nd period phl hawgood dineen eklund pp phl dineen mcgill sh buf barnaby hawerchuk smehlik pp buf wood lafontaine ledyard pp buf mogilny hawerchuk carney pp rd period phl eklund dineen beranek buf mogilny errey lafontaine phl dineen brind amour pp phl dineen brind amour galley sh phl acton dineen brind amour powerplay opportunities flyers of sabres of shots on goal flyers sabres philadelphia flyers soderstrom shots saves buffalo sabres fuhr shots saves hasek second shots saves att edmonton oilers winnipeg jets st period win shannon steen davydov pp nd period win selanne olausson win zhamnov selanne rd period none powerplay opportunities oilers of jets of shots on goal oilers jets edmonton oilers ranford shots saves winnipeg jets essensa shots saves att toronto maple leafs chicago blackhawks st period tor baumgartner nd period chi roenick murphy chelios tor andreychuk mironov lefebvre chi murphy roenick chelios pp rd period chi matteau powerplay opportunities maple leafs of blackhawks of shots on goal maple leafs blackhawks toronto maple leafs potvin shots saves chicago blackhawks belfour shots saves att tampa bay lightning st louis blues st period stl shanahan brown felsner stl miller bassen brown stl bassen zombo nd period stl bassen hedican miller stl miller zombo hedican tbl maltais hamrlik tbl bergland harvey gilhen tbl shanahan emerson rd period tbl creighton bergland bergevin tbl chambers zamuner cole tbl cole beers bradley powerplay opportunities lightning of blues of shots on goal lightning blues tampa bay lightning jablonski shots saves bergeron third shots saves st louis blues joseph shots saves hebert third shots saves att san jose sharks calgary flames st period none nd period sjs garpenlov odgers gaudreau pp cal nieuwendyk macinnis suter pp cal ranheim otto suter cal yawney nieuwendyk roberts cal berube paslawski skrudland rd period sjs wood odgers kisio cal reichel cal roberts musil paslawski pp sjs kisio cal paslawski ashton stern powerplay opportunities sharks of flames of shots on goal sharks flames san jose sharks irbe shots saves calgary flames vernon shots saves att vancouver canucks los angeles kings st period lak robitaille gretzky sandstrom van babych craven nedved pp lak sandstrom gretzky robitaille nd period van linden ronning courtnall pp van ward hunter nedved lak gretzky sandstrom robitaille lak zhitnik kurri robitaille pp lak millen hardy pp rd period van ronning dirk van ronning courtnall linden pp van linden courtnall ronning lak donnelly millen granato pp van courtnall ronning ratushny van ronning linden diduck en powerplay opportunities canucks of kings of shots on goal canucks kings vanocuver canucks whitmore shots saves los angeles kings stauber shots saves hrudey third shots saves att
"
For the purpose of a contest, I'd bet some things could be cut.  Like fuel
for re-entry, any kind of heat shielding, etc., etc.  Even still, if the
contest participants had to fund DC-1 development, it probably wouldn't be
worth it to develop DC-1 (just for the contest).  Just give me the cheapest
heaviest lift man rated (or at least under 6 or so Gs) booster...  If I
don't have to pay for DC-1 development, great!, I'll use it.

But back to the contest goals, there was a recent article in AW&ST about a
low cost (it's all relative...) manned return to the moon.  A General
Dynamics scheme involving a Titan IV & Shuttle to lift a Centaur upper
stage, LEV, and crew capsule.  The mission consists of delivering two
unmanned payloads to the lunar surface, followed by a manned mission. 
Total cost:  US was $10-$13 billion.  Joint ESA(?)/NASA project was $6-$9
billion for the US share.

I didn't find a mention of how long the crew could stay, but I'd bet that
its  around 30 days.  And the total payload delivered was about 30 metric
tonnes.  So if you ignore the scientific payload, hitch a ride in the crew
habitation module (no return trip...), and toss in a few more tonnes for
the additional consumables to last another 11 months, then you *might* be
able to get a year visit out of 15 tonnes (and in case its not obvious,
that's a wild ass guess).  A pretty boring visit, since every trip outdoors
eats up a bit of LOX.  And I'm not certain if a home brewed (or
college-brewed) life support system could last a year.  But let's round
this up to 19.4 tonnes (convient, since the GD plan talks about 9.7 ton
payloads delivered to the lunar surface.  This adds up to two Centaurs, two
LEVs, two Shuttle flights... All to put a single man on the moon for a
year.   Hmmm.  Not really practical.  Anyone got a cheaper/better way of
delivering 15-20 tonnes to the lunar surface within the decade?  Anyone
have a more precise guess about how much a year's supply of consumables and
equipment would weigh?

And I was wondering about the GD LEV.  Is it reusable?  Or is it discarded
to burn up on return to LEO?  If its not discarded, could it be refueled? 
Henry: Do you know anything about the GD LEV?  I noted that it uses RL-10
engines.  Aren't they reusable/restartable?  Would a LEV fit in a DC-1? 
I've forgotten (if I ever knew) what the cargo bay dimensions are for the
DC-1.

All in all, I'm not certain that the single goal/prize of staying on the
moon for a year is wise and/or useful.  How about:  A prize for the first
non-government sponsered unmanned moon landing, then another for a manned
moon landing, then yet another for a system to extract consumables from
lunar soil, another for a reusable earth/moon shuttle, and so forth.  Find
some way to build civilian moonbase infrastructure...  Having a single goal
might result in a bunch of contestents giving up after one person appeared
to win.  And for those that didn't give up, I find something a little scary
about a half dozen people huddling in rickety little moon shelters.  I'd
like to see as much a reward for co-operation as for competition.

Lastly, about ten or fifteen years back I seem to recall that there was an
English space magazine that had an on-going discussion about moonbases on
the cheap.  I recalled it discussed things like how much heat the human
body produced, how much lunar material it'd need for protection from solar
flares, etc.  Unfortunately I don't remember the name of this magazine. 
Does this ring a bell to anyone?",2,sci.space,for the purpose of a contest i d bet some things could be cut like fuel for re entry any kind of heat shielding etc etc even still if the contest participants had to fund dc development it probably wouldn t be worth it to develop dc just for the contest just give me the cheapest heaviest lift man rated or at least under or so gs booster if i don t have to pay for dc development great i ll use it but back to the contest goals there was a recent article in aw st about a low cost it s all relative manned return to the moon a general dynamics scheme involving a titan iv shuttle to lift a centaur upper stage lev and crew capsule the mission consists of delivering two unmanned payloads to the lunar surface followed by a manned mission total cost us was billion joint esa nasa project was billion for the us share i didn t find a mention of how long the crew could stay but i d bet that its around days and the total payload delivered was about metric tonnes so if you ignore the scientific payload hitch a ride in the crew habitation module no return trip and toss in a few more tonnes for the additional consumables to last another months then you might be able to get a year visit out of tonnes and in case its not obvious that s a wild ass guess a pretty boring visit since every trip outdoors eats up a bit of lox and i m not certain if a home brewed or college brewed life support system could last a year but let s round this up to tonnes convient since the gd plan talks about ton payloads delivered to the lunar surface this adds up to two centaurs two levs two shuttle flights all to put a single man on the moon for a year hmmm not really practical anyone got a cheaper better way of delivering tonnes to the lunar surface within the decade anyone have a more precise guess about how much a year s supply of consumables and equipment would weigh and i was wondering about the gd lev is it reusable or is it discarded to burn up on return to leo if its not discarded could it be refueled henry do you know anything about the gd lev i noted that it uses rl engines aren t they reusable restartable would a lev fit in a dc i ve forgotten if i ever knew what the cargo bay dimensions are for the dc all in all i m not certain that the single goal prize of staying on the moon for a year is wise and or useful how about a prize for the first non government sponsered unmanned moon landing then another for a manned moon landing then yet another for a system to extract consumables from lunar soil another for a reusable earth moon shuttle and so forth find some way to build civilian moonbase infrastructure having a single goal might result in a bunch of contestents giving up after one person appeared to win and for those that didn t give up i find something a little scary about a half dozen people huddling in rickety little moon shelters i d like to see as much a reward for co operation as for competition lastly about ten or fifteen years back i seem to recall that there was an english space magazine that had an on going discussion about moonbases on the cheap i recalled it discussed things like how much heat the human body produced how much lunar material it d need for protection from solar flares etc unfortunately i don t remember the name of this magazine does this ring a bell to anyone
"
Yes, but as has been mentioned many times before, the Islanders play at
the talent level of their opponent.  Since Hartford is pitiful, the
Islanders played pitiful.  Since Pittsburgh is great, the Isles will most
likely play great.  This is most likely due to inexperience and very poor
shooting.  To Greg: yes, I have noticed that the Islanders couldn't hit
the broad side of a barn with the puck if they were two feet in front of
it.  Does anyone have shooting percentages?  I don't know if that would
help, since they often miss the net completely, but it might shed some
light on the subject.

And, my playoff pool is running!!!  Exact rules to be posted tomorrow, but
don't hesitate to send in picks!!!

--
    Keith Keller				LET'S GO RANGERS!!!!!
						LET'S GO QUAKERS!!!!!
	kkeller@mail.sas.upenn.edu		IVY LEAGUE CHAMPS!!!!",1,rec.sport.hockey,yes but as has been mentioned many times before the islanders play at the talent level of their opponent since hartford is pitiful the islanders played pitiful since pittsburgh is great the isles will most likely play great this is most likely due to inexperience and very poor shooting to greg yes i have noticed that the islanders couldn t hit the broad side of a barn with the puck if they were two feet in front of it does anyone have shooting percentages i don t know if that would help since they often miss the net completely but it might shed some light on the subject and my playoff pool is running exact rules to be posted tomorrow but don t hesitate to send in picks keith keller let s go rangers let s go quakers ivy league champs
"

I don't know a whole lot on Proton, but given that it is a multi stage
rocket,  up to 4 stages, it may not really need the Centaur,  plus
it may end up seriously beating on said centaur.   

Also, the centaur is not small,  unless the Proton has an oversize
shroud you may not be able to get the centaur in under it.

Dennis,  you know much about this?",2,sci.space,i don t know a whole lot on proton but given that it is a multi stage rocket up to stages it may not really need the centaur plus it may end up seriously beating on said centaur also the centaur is not small unless the proton has an oversize shroud you may not be able to get the centaur in under it dennis you know much about this
"
   McDonnell Douglas rolls out DC-X

 ...


   SSTO research remains cloudy.  The SDI Organization -- which paid $60
   million for the DC-X -- can't itself afford to fund full development of a
   follow-on vehicle.  To get the necessary hundreds of millions required for

This is a little peculiar way of putting it, SDIO's budget this year
was, what, $3-4 billion? They _could_ fund all of the DC development
out of one years budget - of course they do have other irons in the
fire ;-) and launcher development is not their primary purpose, but
the DC development could as easily be paid for by diverting that money
as by diverting the comparable STS ops budget...

- oh, and before the flames start. I applaud the SDIO for funding DC-X
devlopment and I hope it works, and, no, launcher development is not
NASAs primary goal either, IMHO they are supposed to provide the
enabling technology research for others to do launcher development,
and secondarily operate such launchers as they require - but that's
just me.",2,sci.space,mcdonnell douglas rolls out dc x ssto research remains cloudy the sdi organization which paid million for the dc x can t itself afford to fund full development of a follow on vehicle to get the necessary hundreds of millions required for this is a little peculiar way of putting it sdio s budget this year was what billion they could fund all of the dc development out of one years budget of course they do have other irons in the fire and launcher development is not their primary purpose but the dc development could as easily be paid for by diverting that money as by diverting the comparable sts ops budget oh and before the flames start i applaud the sdio for funding dc x devlopment and i hope it works and no launcher development is not nasas primary goal either imho they are supposed to provide the enabling technology research for others to do launcher development and secondarily operate such launchers as they require but that s just me
"
:>re: majority of users not readding from floppy.
:>Well, how about those of us who have 1400-picture CD-ROMS and would like to use
:>CVIEW because it is fast and it works well, but can't because the moron lacked
:>the foresight to create the temp file in the program's path, not the current
:>didrectory?


:  Actually the most flexible way to create temp files is to check for a TEMP or
: TMP environment variable and create the files on the drive and directory pointedto by the variable.  This is pretty much a standard for DOS, Windows and OS/2
: applications.

Unfortunately, cview does not pay attention to the temp environment variable.",0,comp.graphics,re majority of users not readding from floppy well how about those of us who have picture cd roms and would like to use cview because it is fast and it works well but can t because the moron lacked the foresight to create the temp file in the program s path not the current didrectory actually the most flexible way to create temp files is to check for a temp or tmp environment variable and create the files on the drive and directory pointedto by the variable this is pretty much a standard for dos windows and os applications unfortunately cview does not pay attention to the temp environment variable
"I need the file format for cc:Mail file formats - it seems to be PCX-based,
but with a twist: only the first page of a multi-page fax will come out
readable. The other pages disappear. The format seems to be 'proprietary'.

Anybody got any clues? I have to give my email FAXes to my secretary in
order to get 'em unscrambled. I want a filter from cc:Mail to .p[nb]m.

Come to think of it, p[nb]m to cc:Mail would be nice too.",0,comp.graphics,i need the file format for cc mail file formats it seems to be pcx based but with a twist only the first page of a multi page fax will come out readable the other pages disappear the format seems to be proprietary anybody got any clues i have to give my email faxes to my secretary in order to get em unscrambled i want a filter from cc mail to p nb m come to think of it p nb m to cc mail would be nice too
"Everyone... Read this.  If you have already sent your predictions, please
correct the Patrick division if you would like.  You have until midnight
on monday (my time.)

You may need to correct these games...


3 - Pittsburgh vs. New Jersey
4 - New York Islanders vs. Washington

10 - Patrick Division Winner

13 - Wales Conference Winner

15 - Stanley Cup Winner

Please forward all corrections to

Richard Madison
rrmadiso@napier.uwaterloo.ca

",1,rec.sport.hockey,everyone read this if you have already sent your predictions please correct the patrick division if you would like you have until midnight on monday my time you may need to correct these games pittsburgh vs new jersey new york islanders vs washington patrick division winner wales conference winner stanley cup winner please forward all corrections to richard madison
